"","NUMBOL","Tipo","P1","P2","P4","P6","P10","P12","P14","P15A","P16","P17","P20","P23","P28","P30","P31A","P32","P33","P34","P35","P36A","P129A","P130A","P131A","P132A","P133A","P134","P135","P136","P137","P138","P139","P140","P148","P149","P150","P151","P152","P153","P154A","P155","P156A","P156B","P156C","P156D","P156E","P156F","P156G","P156H","P156I","P156J","P156K","P157","P158","P159","P160","CodP160","Ponderador5536","Nse"
"1",1,"1",18,"1","2","1","2","1",2500,"1","1","2","1","1","1",1000,"1","1","1",30,"4","1","1","5","5","5","5","4","1","1","1","2","1","6","1","3","1","1","ES","2","2","3","1","1","1","2","2","1","2","1","2","2","2","5","1","1","La Paz","33",1.66029585357411,"3"
"2",2,"1",21,"1","1","1","8","1",600,"1","1","1","1","1","1",1200,"1","1","1",300,"4","1","1","6","3","6","1","1","6","7","1","6","6","6","1","3","1","1","NP","3","4","3","1","1","1","1","1","1","1","1","4","2","2","7","1","1","La Paz","33",1.66029585357411,"4"
"3",3,"1",54,"1","2","2","8","1",800,"1","2","2","1","3","1",680,"1","1","2",350,"5","1","6","1","1","1","4","1","1","1","1","2","4","1","1","3","2","1","NP","3","1","2","1","1","1","2","2","2","1","1","2","2","2","4","1","1","La Paz","33",1.66029585357411,"2"
"4",4,"1",30,"1","2","1","3","1",1500,"1","2","2","1","3","1",700,"1","1","1",50,"3","1","1","6","6","1","6","6","3","3","3","3","2","2","2","7","1","1","AS","2","1","2","1","1","1","2","2","1","2","1","1","2","2","4","1","1","La Paz","33",1.66029585357411,"2"
"5",5,"1",16,"1","2","2","8","1",2000,"4","2","1","1","3","2",800,"1","1","2",25,"5","1","1","1","1","1","1","4","5","1","1","2","1","5","2","2","1","1","ES","2","1","3","1","1","1","2","2","1","2","1","2","2","2","4","1","1","La Paz","33",1.66029585357411,"2"
"6",6,"1",50,"1","2","1","1","1",3000,"1","1","1","1","3","1",500,"1","1","2",50,"4","1","1","1","1","2","6","2","4","3","1","7","1","5","2","6","1","1","EM","2","2","2","1","1","1","2","2","1","2","1","1","2","2","4","1","1","La Paz","33",1.66029585357411,"2"
"7",7,"1",40,"1","2","2","9","1",600,"1","2","2","1","3","1",700,"1","1","2",50,"3","1","2","1","1","8","2","2","2","2","2","2","2","2","2","6","2","1","CP","7","2","2","1","1","1","1","1","1","2","2","1","2","2","4","1","1","La Paz","33",1.66029585357411,"3"
"8",8,"1",20,"1","2","2","7","1",1700,"1","2","2","1","3","1",1700,"1","1","1",50,"4","1","1","1","5","1","8","5","1","5","5","5","5","5","2","3","2","1","NP","4","1","2","1","1","1","2","2","1","2","2","1","2","2","3","1","1","La Paz","33",1.66029585357411,"2"
"9",9,"1",32,"1","2","2","9","1",1000,"1","2","2","2","3","1",2500,"1","1","2",100,"5","1","3","1","3","1","3","1","1","1","1","1","1","6","1","4","1","1","AS","4","1","2","2","1","1","2","2","2","2","2","1","2","2","1","1","1","La Paz","33",1.66029585357411,"1"
"10",10,"1",18,"1","1","1","7","1",2100,"1","1","2","1","3","1",2100,"1","1","1",50,"3","2","5","5","5","6","3","5","6","2","2","1","1","6","1","3","1","1","ES","7","1","4","1","1","1","1","1","2","2","1","2","2","2","6","1","1","La Paz","33",1.66029585357411,"4"
"11",11,"1",26,"1","1","1","6","1",3500,"1","1","1","1","1","1",2500,"1","2","1",200,"2","1","5","5","5","5","5","5","5","5","5","5","5","5","2","7","1","1","PI","7","1","5","1","1","1","1","1","1","1","1","5","1","2","2","1","1","La Paz","33",1.66029585357411,"5"
"12",12,"1",20,"1","2","1","2","1",4800,"1","1","2","2","2","1",800,"1","1","1",400,"4","1","7","6","6","6","6","6","6","1","1","7","1","6","1","6","1","1","ES","6","1","2","1","1","1","2","1","1","1","1","2","1","1","6","1","1","La Paz","33",1.66029585357411,"4"
"13",13,"1",33,"1","2","2","9","1",1500,"1","1","2","1","3","1",850,"1","1","2",30,"3","1","1","1","6","1","1","1","1","1","1","7","1","6","2","7","2","1","AC","7","1","2","1","1","1","2","2","1","2","2","1","2","2","3","1","1","La Paz","33",1.66029585357411,"2"
"14",14,"1",25,"1","1","1","7","1",1000,"1","1","2","1","2","1",2200,"1","1","3",150,"3","1","1","1","5","1","6","1","2","1","1","7","2","6","1","6","1","1","AS","1","1","2","1","1","1","1","1","1","2","2","3","2","2","3","1","1","La Paz","33",1.66029585357411,"3"
"15",15,"1",54,"1","1","1","7","1",2800,"1","1","2","1","1","1",320,"1","1","2",60,"4","3","1","1","1","1","1","1","1","1","1","6","1","2","1","3","2","1","AS","3","1","3","1","1","1","2","2","1","2","1","2","2","2","4","1","1","La Paz","33",1.66029585357411,"3"
"16",16,"1",49,"1","2","2","9","1",1600,"1","1","2","1","3","1",400,"1","1","3",10,"2","3","2","2","2","2","2","2","2","1","2","7","7","6","2","3","2","1","AC","3","1","1","1","1","1","2","2","1","1","2","1","2","2","4","1","1","La Paz","33",1.66029585357411,"2"
"17",17,"1",39,"1","2","2","1","1",1500,"1","1","2","1","3","1",600,"1","1","2",30,"3","1","1","1","1","1","1","1","2","2","2","3","1","2","1","3","2","1","CP","3","2","2","1","1","1","1","2","1","2","1","4","1","2","3","1","1","La Paz","33",1.66029585357411,"3"
"18",18,"1",18,"1","2","2","1","1",1700,"1","2","2","1","3","1",900,"1","1","1",50,"5","1","1","1","1","6","6","6","7","1","1","7","1","6","2","3","1","1","ES","1","2","1","1","1","1","2","2","2","2","2","1","2","2","3","1","1","La Paz","33",1.66029585357411,"1"
