"","NUMBOL","Tipo","P1","P2","P4","P6","P10","P12","P14","P15A","P16","P17","P20","P23","P28","P30","P31A","P32","P33","P34","P35","P36A","P129A","P130A","P131A","P132A","P133A","P134","P135","P136","P137","P138","P139","P140","P148","P149","P150","P151","P152","P153","P154A","P155","P156A","P156B","P156C","P156D","P156E","P156F","P156G","P156H","P156I","P156J","P156K","P157","P158","P159","P160","CodP160","Ponderador5536","Nse"
"1",1,"1",18,"1","2","1","2","1",2500,"1","1","2","1","1","1",1000,"1","1","1",30,"4","1","1","5","5","5","5","4","1","1","1","2","1","6","1","3","1","1","ES","2","2","3","1","1","1","2","2","1","2","1","2","2","2","5","1","1","La Paz","33",1.66029585357411,"3"
"2",4,"1",30,"1","2","1","3","1",1500,"1","2","2","1","3","1",700,"1","1","1",50,"3","1","1","6","6","1","6","6","3","3","3","3","2","2","2","7","1","1","AS","2","1","2","1","1","1","2","2","1","2","1","1","2","2","4","1","1","La Paz","33",1.66029585357411,"2"
"3",9,"1",32,"1","2","2","9","1",1000,"1","2","2","2","3","1",2500,"1","1","2",100,"5","1","3","1","3","1","3","1","1","1","1","1","1","6","1","4","1","1","AS","4","1","2","2","1","1","2","2","2","2","2","1","2","2","1","1","1","La Paz","33",1.66029585357411,"1"
"4",10,"1",18,"1","1","1","7","1",2100,"1","1","2","1","3","1",2100,"1","1","1",50,"3","2","5","5","5","6","3","5","6","2","2","1","1","6","1","3","1","1","ES","7","1","4","1","1","1","1","1","2","2","1","2","2","2","6","1","1","La Paz","33",1.66029585357411,"4"
"5",11,"1",26,"1","1","1","6","1",3500,"1","1","1","1","1","1",2500,"1","2","1",200,"2","1","5","5","5","5","5","5","5","5","5","5","5","5","2","7","1","1","PI","7","1","5","1","1","1","1","1","1","1","1","5","1","2","2","1","1","La Paz","33",1.66029585357411,"5"
"6",14,"1",25,"1","1","1","7","1",1000,"1","1","2","1","2","1",2200,"1","1","3",150,"3","1","1","1","5","1","6","1","2","1","1","7","2","6","1","6","1","1","AS","1","1","2","1","1","1","1","1","1","2","2","3","2","2","3","1","1","La Paz","33",1.66029585357411,"3"
"7",17,"1",39,"1","2","2","1","1",1500,"1","1","2","1","3","1",600,"1","1","2",30,"3","1","1","1","1","1","1","1","2","2","2","3","1","2","1","3","2","1","CP","3","2","2","1","1","1","1","2","1","2","1","4","1","2","3","1","1","La Paz","33",1.66029585357411,"3"
"8",19,"1",45,"1","1","1","7","1",4000,"4","1","1","1","3","1",1120,"1","1","2",30,"3","1","2","2","2","2","2","1","1","1","1","1","1","1","1","3","2","1","CP","3","2","2","1","1","1","2","1","2","1","1","2","2","2","5","1","1","La Paz","33",1.66029585357411,"3"
"9",23,"1",30,"1","2","1","7","1",4200,"4","2","2","1","1","1",4000,"1","2","1",150,"3","1","7","5","5","5","5","6","5","7","5","7","5","5","1","8","2","1","NP","8","1","3","1","1","1","1","1","1","1","2","1","2","1","5","1","1","La Paz","33",1.66029585357411,"5"
"10",31,"1",57,"1","1","1","3","1",2100,"1","2","2","2","3","1",1569,"1","1","2",200,"4","1","1","1","5","1","7","1","1","3","7","7","7","2","1","5","2","1","NP","5","1","4","1","1","1","2","1","1","2","1","2","2","2","4","1","1","La Paz","33",1.66029585357411,"3"
"11",32,"1",36,"1","1","1","2","1",3000,"1","2","2","1","2","1",2000,"1","2","3",180,"4","1","1","1","5","1","7","1","1","1","7","7","7","7","2","6","2","1","CP","7","1","3","1","1","1","1","1","1","2","2","3","2","2","6","1","1","La Paz","33",1.66029585357411,"4"
"12",33,"1",27,"1","1","1","2","1",3580,"1","2","2","1","3","1",1600,"1","3","3",250,"3","1","1","1","5","1","5","1","7","3","1","7","1","7","2","7","1","1","AS","7","1","5","1","1","1","1","1","1","1","1","3","2","2","6","1","1","La Paz","33",1.66029585357411,"5"
"13",34,"1",23,"1","2","1","5","1",1500,"1","1","2","1","2","1",750,"1","1","1",300,"4","1","1","7","4","1","1","5","2","1","1","4","2","2","2","2","2","1","AC","6","1","2","1","1","1","2","1","2","1","1","1","2","2","6","1","1","La Paz","33",1.66029585357411,"2"
"14",36,"1",50,"1","2","1","5","1",2200,"1","2","2","1","3","1",1160,"1","2","2",50,"5","1","1","4","4","7","5","1","3","3","3","4","4","6","1","7","3","1","NP","7","1","3","1","1","1","1","1","1","1","2","2","2","2","3","1","1","La Paz","33",1.66029585357411,"4"
"15",37,"1",41,"1","1","1","2","1",2800,"1","1","1","1","1","1",1800,"1","1","2",80,"3","1","3","4","5","6","5","1","1","1","1","1","1","6","2","8","3","1","AS","8","1","6","1","1","1","1","1","1","2","1","3","2","2","5","1","1","La Paz","33",1.66029585357411,"5"
"16",39,"1",23,"1","1","1","4","1",3000,"4","1","2","1","2","1",1000,"1","1","3",100,"4","1","1","1","5","6","3","2","3","3","1","1","7","6","2","6","1","1","ES","3","1","3","1","1","1","1","1","1","2","1","2","2","1","9","1","1","La Paz","33",1.66029585357411,"5"
"17",40,"1",38,"1","1","1","6","1",1000,"1","1","2","1","2","1",600,"1","1","3",30,"3","1","3","4","4","1","3","1","3","4","4","4","3","5","1","7","2","1","PI","7","1","2","1","1","1","2","1","1","1","1","2","2","2","8","1","1","La Paz","33",1.66029585357411,"3"
"18",60,"1",33,"1","1","1","7","1",4000,"1","2","1","1","2","1",1800,"1","1","3",80,"3","1","1","1","5","1","2","5","7","7","7","7","7","5","1","3","2","1","PI","3","1","3","1","1","1","1","1","1","1","2","2","1","1","4","1","1","El Alto","24",1.66029585357411,"5"
"19",62,"1",31,"1","1","1","7","1",4500,"1","1","2","1","1","1",1500,"1","1","3",50,"5","1","1","1","1","1","1","1","3","3","1","7","5","1","2","7","1","1","PI","7","1","4","1","1","1","1","1","1","1","1","3","1","2","3","1","1","El Alto","24",1.66029585357411,"5"
"20",64,"1",43,"1","2","1","5","1",5300,"1","2","1","1","2","1",700,"1","2","3",50,"3","1","1","1","1","1","6","2","2","2","1","2","2","6","1","7","2","1","PI","7","1","3","1","1","1","1","1","1","1","1","1","2","2","3","1","1","El Alto","24",1.66029585357411,"4"
"21",73,"1",16,"1","1","2","1","1",2000,"4","2","2","2","3","1",700,"1","1","1",10,"5","1","1","6","6","5","3","5","3","3","5","2","5","5","1","2","1","1","ES","3","2","2","1","1","1","2","2","2","2","2","1","2","2","4","1","1","El Alto","24",1.66029585357411,"1"
"22",74,"1",49,"1","1","2","1","1",2000,"4","2","2","2","3","1",400,"1","1","2",10,"5","1","3","5","7","7","6","5","5","6","5","6","6","6","2","6","3","1","CP","2","1","2","1","1","1","1","1","1","2","2","1","2","2","5","1","1","El Alto","24",1.66029585357411,"3"
"23",76,"1",16,"1","2","2","9","1",2000,"1","2","2","2","3","1",1400,"1","1","3",30,"5","1","1","3","3","1","3","1","2","1","1","1","2","7","1","2","1","1","ES","1","2","1","1","1","1","2","2","1","2","2","1","2","2","8","1","1","El Alto","24",1.66029585357411,"1"
"24",77,"1",31,"1","1","1","7","1",2500,"1","1","2","2","1","1",1600,"1","3","2",75,"4","1","5","5","5","6","6","5","5","5","5","5","5","6","2","6","2","1","AS","2","1","3","1","1","1","1","1","1","2","1","1","2","2","5","1","1","El Alto","24",1.66029585357411,"4"
"25",83,"1",26,"1","2","1","7","1",1600,"2","2","2","1","3","1",1000,"1","2","1",100,"2","1","3","3","5","6","6","6","6","6","6","6","6","6","1","3","2","1","AS","3","1","1","1","1","1","2","2","1","2","2","1","2","2","2","1","1","La Paz","33",1.66029585357411,"2"
"26",84,"1",23,"1","1","1","5","1",2400,"4","2","2","1","1","1",2700,"1","1","1",200,"5","1","1","1","5","1","3","5","5","3","5","5","5","5","1","6","1","1","NP","1","1","4","1","1","1","1","1","1","2","1","5","1","2","5","1","1","La Paz","33",1.66029585357411,"4"
"27",91,"1",28,"1","2","2","9","1",1200,"1","2","2","1","3","1",700,"1","1","1",100,"3","1","1","4","1","1","1","1","2","4","5","7","7","6","2","4","1","1","AS","1","1","2","1","1","1","2","2","2","2","2","1","2","2","4","1","1","La Paz","33",1.66029585357411,"1"
"28",94,"1",46,"1","1","1","7","1",4000,"6","2","2","1","1","1",400,"6","1","2",10,"2","1","2","2","5","6","5","2","2","3","3","2","6","6","1","6","1","1","SB","3","2","2","1","1","1","1","1","1","2","1","1","1","1","4","1","1","El Alto","24",1.66029585357411,"5"
"29",96,"1",36,"1","2","1","2","1",1400,"1","2","2","1","3","1",400,"1","1","3",40,"2","1","1","6","4","6","3","6","7","7","1","7","7","6","1","3","2","1","AS","3","1","1","1","1","1","2","2","2","2","1","1","2","2","3","1","1","El Alto","24",1.66029585357411,"2"
"30",97,"1",19,"1","2","1","3","1",1750,"1","2","2","1","3","1",700,"1","1","3",30,"3","1","1","5","5","5","5","1","1","2","1","1","6","2","2","6","1","1","ES","2","2","1","1","1","1","2","2","1","2","1","1","2","2","3","1","1","El Alto","24",1.66029585357411,"2"
"31",98,"1",35,"1","1","2","6","1",2800,"1","2","2","1","3","1",1400,"1","1","1",40,"3","1","1","1","6","1","1","1","3","6","6","4","2","2","2","6","1","1","AS","2","1","2","1","1","1","2","2","1","2","1","1","2","2","6","1","1","El Alto","24",1.66029585357411,"2"
"32",99,"1",55,"1","2","1","2","1",3500,"4","2","2","1","1","1",1000,"1","1","2",10,"2","3","1","1","1","1","3","1","3","3","1","1","3","2","2","7","2","1","AC","7","2","2","1","1","1","2","2","1","1","1","1","2","2","3","1","1","El Alto","24",1.66029585357411,"3"
"33",104,"1",32,"1","1","1","8","1",600,"1","1","2","1","3","1",300,"1","2","3",230,"5","1","1","1","1","1","3","1","3","4","1","3","3","5","2","8","1","1","AS","8","1","3","1","1","1","1","1","1","2","2","3","2","2","3","1","1","La Paz","33",1.66029585357411,"4"
"34",108,"1",19,"1","1","1","7","1",2500,"6","2","2","1","1","1",1470,"1","1","1",10,"5","1","6","5","4","6","5","5","4","1","6","2","1","6","2","6","1","1","ES","5","5","4","1","1","1","2","1","1","2","1","2","2","2","4","1","1","El Alto","24",1.66029585357411,"3"
"35",120,"1",37,"1","2","1","4","1",2800,"3","1","2","1","2","1",900,"1","2","2",200,"3","1","2","1","1","1","5","1","5","4","1","4","5","4","2","7","2","1","PI","3","1","2","1","1","1","2","2","1","2","2","2","2","2","3","1","2","Caranavi","11",1.5290909921583,"2"
"36",121,"1",20,"1","2","1","2","1",3500,"2","1","2","1","2","1",1900,"1","1","1",50,"2","1","1","3","1","1","5","6","5","1","1","6","1","6","2","3","1","1","ES","1","1","1","1","1","1","2","1","2","2","1","2","2","2","5","1","2","Caranavi","11",1.5290909921583,"2"
"37",122,"1",36,"1","2","2","9","1",1200,"1","2","1","1","3","1",900,"1","1","1",80,"4","1","7","1","1","1","1","5","5","2","2","2","3","1","1","3","2","2","CP","3","2","3","1","1","1","2","2","1","2","2","1","2","2","3","1","2","Patacamaya","48",1.5290909921583,"2"
"38",123,"1",15,"1","2","2","1","1",4000,"2","2","2","1","3","1",450,"4","2","1",10,"5","1","1","6","3","1","3","6","1","1","6","6","1","6","1","2","1","1","ES","1","1","2","1","1","1","2","2","2","2","1","1","2","1","7","1","2","Patacamaya","48",1.5290909921583,"2"
"39",124,"1",22,"1","2","1","4","1",3000,"1","2","2","2","2","1",1600,"1","1","1",280,"3","1","3","1","1","1","3","6","3","1","4","5","1","1","2","6","1","1","AS","1","1","3","1","1","1","2","1","2","2","1","2","1","1","6","1","2","Patacamaya","48",1.5290909921583,"4"
